,count
"('phòng', 'chống')",19331
"('hợp', 'với')",19261
"('những', 'người')",19207
"('cùng', 'ngày')",19126
"('hệ', 'thống')",18944
"('thị', 'trường')",18896
"('tuổi', 'ngụ')",18857
"('cảnh', 'sát')",18855
"('hồ', 'sơ')",18831
"('nguyễn', 'văn')",18829
"('cá', 'nhân')",18785
"('thời', 'điểm')",18697
"('quốc', 'hội')",18553
"('tịch', 'ubnd')",18521
"('nhiệm', 'vụ')",18498
"('số', 'tiền')",18418
"('công', 'trình')",18378
"('ngân', 'hàng')",18112
"('ảnh', 'hưởng')",18091
"('kinh', 'doanh')",18089
"('tập', 'trung')",18072
"('tiến', 'hành')",17988
"('thanh', 'niên')",17948
"('quốc', 'tế')",17861
"('đến', 'nay')",17725
"('trên', 'địa')",17710
"('ubnd', 'tỉnh')",17631
"('so', 'với')",17610
"('phương', 'tiện')",17603
"('nhân', 'viên')",17557
"('của', 'người')",17492
"('tai', 'nạn')",17427
"('hợp', 'tác')",17374
"('quốc', 'gia')",17361
"('cho', 'người')",17314
"('cho', 'các')",17291
"('quá', 'trình')",17159
"('bộ', 'công')",17110
"('nguyên', 'nhân')",17011
"('trong', 'khi')",16968
"('theo', 'quy')",16854
"('quan', 'đến')",16759
"('ô', 'tô')",16758
"('thanh', 'tra')",16745
"('dịch', 'vụ')",16663
"('điều', 'kiện')",16610
"('điều', 'trị')",16559
"('cách', 'ly')",16552
"('ý', 'kiến')",16522
"('ban', 'đầu')",16497
"('đánh', 'giá')",16373
"('trung', 'quốc')",16365
"('môi', 'trường')",16297
"('ngoài', 'ra')",16158
"('khẳng', 'định')",15877
"('theo', 'ông')",15867
"('các', 'tỉnh')",15832
"('an', 'tỉnh')",15811
"('đó', 'có')",15739
"('tử', 'vong')",15687
"('đại', 'diện')",15573
"('đà', 'nẵng')",15538
"('ủy', 'ban')",15417
"('hiện', 'nay')",15367
"('nhận', 'được')",15247
"('kế', 'hoạch')",15189
"('tình', 'hình')",15182
"('kiểm', 'soát')",15161
"('cấp', 'cứu')",15028
"('toàn', 'bộ')",14915
"('nội', 'dung')",14890
"('điện', 'thoại')",14837
"('ma', 'túy')",14752
"('trong', 'thời')",14720
"('du', 'lịch')",14714
"('hiệu', 'quả')",14657
"('hành', 'chính')",14455
"('tại', 'các')",14376
"('của', 'công')",14371
"('thiệt', 'hại')",14369
"('khả', 'năng')",14324
"('ghi', 'nhận')",14308
"('tài', 'xế')",14278
"('xét', 'nghiệm')",14253
"('tăng', 'cường')",14121
"('chính', 'sách')",14115
"('là', 'một')",14063
"('khách', 'hàng')",14049
"('trên', 'đường')",14026
"('phục', 'vụ')",13972
"('chính', 'trị')",13907
"('thông', 'báo')",13897
"('giờ', 'ngày')",13893
"('hợp', 'đồng')",13759
"('bác', 'sĩ')",13739
"('biện', 'pháp')",13707
"('nhất', 'là')",13671
"('độ', 'c')",13632
"('chính', 'quyền')",13599
"('đại', 'biểu')",13531
"('chương', 'trình')",13447
"('thủ', 'tục')",13444
"('xem', 'xét')",13362
"('nhiều', 'người')",13359
"('cũng', 'đã')",13339
"('quan', 'hệ')",13331
"('theo', 'đó')",13318
"('khai', 'thác')",13277
"('tài', 'chính')",13237
"('tất', 'cả')",13221
"('từ', 'ngày')",13218
"('cung', 'cấp')",13127
"('an', 'ninh')",13101
"('điều', 'khiển')",13061
"('sản', 'phẩm')",13006
"('định', 'của')",12968
"('nguyễn', 'thị')",12964
"('quy', 'hoạch')",12891
"('quan', 'trọng')",12815
"('đô', 'thị')",12761
"('chất', 'lượng')",12755
"('giai', 'đoạn')",12674
"('có', 'nhiều')",12627
"('lĩnh', 'vực')",12509
"('giám', 'sát')",12456
"('công', 'nhân')",12445
"('bị', 'can')",12389
"('vị', 'trí')",12360
"('trực', 'tiếp')",12320
"('hoàn', 'thành')",12318
"('không', 'thể')",12166
"('văn', 'bản')",12148
"('phó', 'chủ')",12139
"('giá', 'trị')",12027
"('thương', 'mại')",12022
"('bị', 'thương')",11995
"('còn', 'lại')",11885
"('phương', 'án')",11825
"('có', 'mưa')",11804
"('thi', 'công')",11793
"('bên', 'cạnh')",11723
"('đồng', 'nai')",11682
"('thông', 'qua')",11664
"('hình', 'sự')",11613
"('tỉnh', 'quảng')",11516
"('cũng', 'như')",11515
"('đang', 'được')",11506
"('về', 'việc')",11506
"('phù', 'hợp')",11503
"('nước', 'ngoài')",11473
"('bộ', 'trưởng')",11457
"('nghiên', 'cứu')",11405
"('chống', 'dịch')",11384
"('lượng', 'chức')",11270
"('của', 'ông')",11256
"('của', 'mình')",11251
"('nhu', 'cầu')",11147
"('dự', 'kiến')",11117
"('không', 'được')",11005
"('khởi', 'tố')",10892
"('đăng', 'ký')",10892
"('đề', 'xuất')",10891
"('đó', 'là')",10868
"('kịp', 'thời')",10864
"('quan', 'công')",10845
"('nhưng', 'không')",10622
"('công', 'nghệ')",10610
"('các', 'địa')",10608
"('một', 'người')",10592
"('giải', 'pháp')",10547
"('hội', 'nghị')",10511
"('các', 'đơn')",10462
"('chúng', 'ta')",10454
"('bổ', 'sung')",10377
"('có', 'mặt')",10307
"('kết', 'luận')",10276
"('khắc', 'phục')",10185
"('sở', 'y')",10182
"('thực', 'tế')",10154
"('bình', 'dương')",10109
"('giờ', '30')",10106
"('tpđà', 'nẵng')",10106
"('không', 'phải')",10100
"('quảng', 'nam')",10091
"('tại', 'khu')",10078
"('vắc', 'xin')",10054
"('cộng', 'đồng')",10002
"('nghiêm', 'trọng')",10001
"('tội', 'phạm')",9960
"('ngân', 'sách')",9927
"('chia', 'sẻ')",9920
"('dự', 'báo')",9858
"('thiết', 'bị')",9827
"('có', 'một')",9801
"('vận', 'chuyển')",9779
"('ngư', 'dân')",9774
"('cho', 'hay')",9767
"('văn', 'phòng')",9758
"('mở', 'rộng')",9728
"('ổn', 'định')",9698
"('khi', 'đó')",9692
"('thành', 'viên')",9665
"('là', 'người')",9618
"('ty', 'tnhh')",9598
"('nguy', 'cơ')",9593
"('trong', 'những')",9586
"('hướng', 'dẫn')",9574
"('thế', 'giới')",9566
"('thanh', 'hóa')",9526
"('trái', 'phép')",9503
"('chiếc', 'xe')",9493
"('đưa', 'ra')",9480
"('hội', 'đồng')",9476
"('trong', 'việc')",9466
"('chuẩn', 'bị')",9463
"('sẽ', 'được')",9403
"('áp', 'dụng')",9385
"('như', 'vậy')",9369
"('bắt', 'giữ')",9368
"('ngay', 'sau')",9353
"('tịch', 'nước')",9346
"('đầu', 'tiên')",9320
"('nhấn', 'mạnh')",9306
"('công', 'nghiệp')",9294
"('lưu', 'thông')",9290
"('trong', 'quá')",9282
"('tra', 'làm')",9274
"('trước', 'khi')",9262
"('này', 'đã')",9255
"('học', 'sinh')",9234
"('tìm', 'kiếm')",9187
"('các', 'nhà')",9156
"('xét', 'xử')",9155
"('trật', 'tự')",9125
"('theo', 'thông')",9121
"('tiếp', 'nhận')",9117
"('kiến', 'nghị')",9100
"('tuyến', 'đường')",9073
"('hạn', 'chế')",9055
"('cao', 'nhất')",9035
"('chi', 'phí')",9023
"('hành', 'khách')",9007
"('hậu', 'quả')",8975
"('của', 'bộ')",8966
"('rất', 'nhiều')",8964
"('thống', 'nhất')",8886
"('xác', 'minh')",8880
"('đã', 'bị')",8837
"('kỹ', 'thuật')",8826
"('hình', 'thức')",8810
"('nghị', 'quyết')",8806
"('vụ', 'tai')",8788
"('nhiệt', 'độ')",8787
"('diện', 'tích')",8778
"('các', 'công')",8756
"('các', 'bị')",8709
"('số', 'lượng')",8689
"('tích', 'cực')",8682
"('chủ', 'đầu')",8604
"('xe', 'tải')",8589
"('diễn', 'ra')",8576
"('và', 'có')",8523
"('điều', 'chỉnh')",8484
"('người', 'bị')",8481
"('xử', 'phạt')",8478
"('tỉnh', 'bình')",8449
"('di', 'chuyển')",8433
"('theo', 'dõi')",8428
"('trụ', 'sở')",8424
"('tuổi', 'trú')",8396
"('văn', 'hóa')",8381
"('bộ', 'y')",8381
"('nâng', 'cao')",8368
"('bảo', 'đảm')",8368
"('bất', 'ngờ')",8357
"('thu', 'hồi')",8347
"('báo', 'chí')",8346
"('sức', 'khỏe')",8337
"('cho', 'công')",8329
"('mục', 'tiêu')",8289
"('đa', 'khoa')",8285
"('dẫn', 'đến')",8271
"('huy', 'động')",8264
"('kéo', 'dài')",8253
"('nhà', 'máy')",8242
"('vợ', 'chồng')",8235
"('công', 'bố')",8235
"('xuất', 'hiện')",8231
"('tỷ', 'lệ')",8215
"('ban', 'hành')",8171
"('chấp', 'hành')",8144
"('theo', 'hướng')",8124
"('hàng', 'hóa')",8119
"('dịch', 'bệnh')",8113
"('nhanh', 'chóng')",8088
"('chưa', 'có')",8087
"('cạnh', 'đó')",8084
"('về', 'tội')",8069
"('ở', 'các')",8056
"('thành', 'lập')",8051
"('khoa', 'học')",8042
"('trung', 'ương')",8039
"('có', 'những')",8035
"('ban', 'chỉ')",8004
"('sự', 'việc')",7996
"('cả', 'nước')",7992
"('năm', 'nay')",7979
"('bồi', 'thường')",7964
"('tổng', 'số')",7953
"('trả', 'lời')",7948
"('trong', 'các')",7931
"('có', 'nơi')",7924
"('vẫn', 'chưa')",7923
"('thi', 'hành')",7913
"('người', 'này')",7908
"('chiếm', 'đoạt')",7907
"('động', 'của')",7893
"('trở', 'lại')",7882
"('đến', 'ngày')",7877
"('tài', 'khoản')",7875
"('hiện', 'các')",7868
"('vận', 'tải')",7862
"('thường', 'xuyên')",7857
"('tập', 'đoàn')",7819
"('vùng', 'biển')",7819
"('giao', 'dịch')",7773
"('chủ', 'động')",7746
"('các', 'loại')",7744
"('chỉ', 'có')",7734
"('quan', 'tâm')",7704
"('hộ', 'dân')",7677
"('thẩm', 'quyền')",7674
"('tinh', 'thần')",7671
"('cũng', 'theo')",7662
"('đáp', 'ứng')",7640
"('ủy', 'viên')",7633
"('người', 'có')",7620
"('ông', 'lê')",7617
"('với', 'những')",7612
"('nhà', 'ở')",7611
"('để', 'làm')",7599
"('đồng', 'ý')",7593
"('đất', 'nước')",7593
"('liên', 'tục')",7561
"('quan', 'điều')",7555
"('các', 'dự')",7538
"('tin', 'ban')",7535
"('rà', 'soát')",7529
"('lượng', 'công')",7510
"('tại', 'bệnh')",7500
"('được', 'đưa')",7490
"('và', 'phát')",7488
"('hòa', 'bình')",7487
"('sân', 'bay')",7483
"('tàu', 'cá')",7456
"('chiến', 'sĩ')",7448
"('về', 'nhà')",7443
"('có', 'khả')",7437
"('hiện', 'tại')",7423
"('kỷ', 'luật')",7397
"('hoàn', 'toàn')",7384
"('cùng', 'với')",7377
"('và', 'công')",7376
"('đầy', 'đủ')",7374
"('trưởng', 'bộ')",7370
"('cho', 'thấy')",7367
"('định', 'về')",7349
"('năm', 'tù')",7345
"('vai', 'trò')",7344
"('bình', 'định')",7342
"('tỉnh', 'ủy')",7339
"('công', 'việc')",7324
"('quảng', 'ngãi')",7324
"('tin', 'báo')",7315
"('các', 'trường')",7301
"('tham', 'nhũng')",7301
"('đưa', 'vào')",7293
"('hôm', 'nay')",7281
"('bình', 'thuận')",7279
"('hàng', 'không')",7278
"('từ', 'năm')",7263
"('trao', 'đổi')",7243
"('một', 'trong')",7241
"('tại', 'hiện')",7237
"('không', 'chỉ')",7233
"('lái', 'xe')",7206
"('hai', 'bên')",7193
